II baseinas Sodo g. 850 m,0555,115,36.202.50,36.202.50,,1.00,vnt,
II baseinas Kudirkos g. 500 m,0557,116,21.721.50,21.721.50,,1.00,vnt,
II baseinas Birutës g. 312 m,0559,117,6.950.88,6.950.88,,1.00,vnt,
II baseinas Medelyno g. 545 m,0561,118,5.792.40,5.792.40,,1.00,vnt,
II baseinas Èiurlionio g. 965 m,0563,119,32.147.82,32.147.82,,1.00,vnt,
II baseinas Darbininkø g. 284 m,0566,120,6.950.88,6.950.88,,1.00,vnt,
II baseinas Marijampolës g. 130 m,1208,121,202.734.01,202.734.01,,1.00,vnt,
II baseinas Vilniaus g. 4571 m,1315,122,80.514.37,80.514.37,,1.00,vnt,
V baseinas P. Cvirkos g. 1121,1318,123,33.885.54,33.885.54,,1.00,vnt,
V baseinas Valanèiaus g. 210 m,1320,124,2.606.58,2.606.58,,1.00,vnt,
V baseinas Klevø g. 835 m,1329,125,7.819.74,7.819.74,,1.00,vnt,
V baseinas Miglovaros g. 187 m,1338,126,1.737.72,1.737.72,,1.00,vnt,
V baseinas Þemaitës g. 3172 m,1342,127,90.940.69,90.940.69,,1.00,vnt,
V baseinas Daukanto g. 574 m,1354,128,15.639.48,15.639.48,,1.00,vnt,
V baseinas Gumbinës g. 442 m,1365,129,5.213.16,5.213.16,,1.00,vnt,
V baseinas Dubijos g. 1480 m,1368,130,48.366.54,48.366.54,,1.00,vnt,
V baseinas Vytauto g. 2320 m,1514,131,53.579.70,53.579.70,,1.00,vnt,
V baseinas Dvaro g. 1722 m,1523,132,58.792.86,58.792.86,,1.00,vnt,
V baseinas Mickevièiaus g. 365 m,1611,133,9.557.46,9.557.46,,1.00,vnt,
V baseinas Lydos g. 649 m,1637,134,14.770.62,14.770.62,,1.00,vnt,
V baseinas Vytauato-Þemaitës-Cvirkos-Mickevièiaus, 660 m,1639,135,13.032.90,13.032.90,,1.00,vnt,
